          subj           cond           chan            win           mean
  Subjects2021        POSCONc             F1     +310..+370    -1.6159e-01 26_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -9.4820e+00 26_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     2.6578e+00 26_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     3.7020e-01 26_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -5.3781e+00 26_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -1.1324e+00 26_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -1.8052e-01 26_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -4.5645e+00 26_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -2.5269e+00 26_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -8.5327e-01 26_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -3.3848e+00 27_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     3.4673e+00 27_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     8.4156e-01 27_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -2.8780e+00 27_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     4.2602e+00 27_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     1.5790e+00 27_POSCONc.avr
