          subj           cond           chan            win           mean
  subject_avgs        TWfourc             Cz     +210..+290    -9.9550e-01 23_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -3.2342e+00 23_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -5.3947e-01 24_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -1.7564e+00 24_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -2.9699e+00 24_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -1.4225e+00 25_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -1.2186e+00 25_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -1.1386e+00 25_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -5.0826e-01 26_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     1.1633e+00 26_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     1.8317e-01 26_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -1.9146e+00 27_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -2.5067e+00 27_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -2.1494e+00 27_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -6.6172e-01 28_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     3.5306e-01 28_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     5.1473e-02 28_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     5.2958e-01 29_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     2.1519e+00 29_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     1.0315e-02 29_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     1.2446e+00 30_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -3.8654e-02 30_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -1.1397e+00 30_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     3.1610e-01 31_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     1.2451e+00 31_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -7.1395e-01 31_TWfourc.avr
