          subj           cond           chan            win           mean
  Subjects2021            NOc             Cz     +310..+370     6.1349e-01     10_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -7.2503e+00     10_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -8.8262e+00     10_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -2.1436e+00     10_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -1.2887e+00     11_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -1.5478e+00     11_NOc.avr
  Subjects2021            NOc             Fz     +310..+370     3.8630e-02     11_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -2.5216e+00     11_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -1.4391e+00     11_NOc.avr
  Subjects2021            NOc             Cz     +310..+370     5.5426e-01     11_NOc.avr
  Subjects2021            NOc             Pz     +100..+120     8.6161e-01     11_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -4.8029e-02     11_NOc.avr
  Subjects2021            NOc             Pz     +310..+370     1.8098e+00     11_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -4.6210e+00     12_NOc.avr
  Subjects2021            NOc             Fz     +180..+220     2.4414e+00     12_NOc.avr
  Subjects2021            NOc             Fz     +310..+370     3.4499e+00     12_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -5.2215e+00     12_NOc.avr
  Subjects2021            NOc             Cz     +180..+220     2.2365e+00     12_NOc.avr
  Subjects2021            NOc             Cz     +310..+370     2.1622e+00     12_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -7.7319e+00     12_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -4.1435e+00     12_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -1.9944e+00     12_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -1.3568e+00     13_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -2.6642e+00     13_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -2.2019e+00     13_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -8.0127e-01     13_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -9.2090e-01     13_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -1.8509e+00     13_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -2.9148e-01     13_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -4.4647e+00     13_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -1.4900e+00     13_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -5.9211e+00     14_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -2.8976e+00     14_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -1.0848e+00     14_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -4.7046e+00     14_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -2.9693e+00     14_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -4.5331e-01     14_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -4.7280e+00     14_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -4.9017e+00     14_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -9.9609e-01     14_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -7.6373e+00     16_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -2.5556e+00     16_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -3.7161e+00     16_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -6.6561e+00     16_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -1.1636e+00     16_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -3.3825e+00     16_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -3.0260e+00     16_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -8.2782e-01     16_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -1.8827e+00     16_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -3.9238e+00     17_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -1.4275e+00     17_NOc.avr
  Subjects2021            NOc             Fz     +310..+370     1.1862e+00     17_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -3.6848e+00     17_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -1.3392e+00     17_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -3.3195e-01     17_NOc.avr
  Subjects2021            NOc             Pz     +100..+120     1.0495e+00     17_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -2.9859e+00     17_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -4.4255e-01     17_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -6.1597e+00     18_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -4.5673e-01     18_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -2.8098e+00     18_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -7.5487e+00     18_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -1.7594e+00     18_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -2.2834e+00     18_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -5.5614e+00     18_NOc.avr
