          subj           cond           chan            win           mean
  Subjects2021         TWonec             Pz     +180..+220    -3.7493e+00  17_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370    -4.9109e-02  17_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     3.0228e+00  17_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -2.2679e+00  17_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -1.2588e+00  17_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     3.3805e-01  17_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     2.8453e-01  17_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     1.9988e-02  17_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -2.9880e+00  18_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220     1.1641e+00  18_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     2.3331e+00  18_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -1.6146e+00  18_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220     2.6148e+00  18_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370    -3.3329e-01  18_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -1.5408e+00  18_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220     3.5377e+00  18_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     6.7895e+00  18_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -3.1282e+00  18_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220     2.5920e+00  18_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     3.7721e+00  18_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -9.7616e-01  18_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220     1.3916e+00  18_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     6.4355e+00  18_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     1.0486e+00  18_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -1.0830e+00  18_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     1.5151e-01  18_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120    -8.6109e-01  18_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     1.1590e-01  18_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     2.1856e+00  18_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -7.9215e+00  19_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -7.8183e+00  19_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     2.4747e+00  19_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120     2.9969e+00  19_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220     1.6577e+00  19_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     2.3738e+00  19_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -4.4596e+00  19_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -2.9473e+00  19_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     3.9681e+00  19_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -1.3795e+00  19_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220     1.3552e+00  19_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     1.4230e+00  19_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120     1.4383e+00  19_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -4.4282e+00  19_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     4.8944e+00  19_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     3.3137e+00  19_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220     2.1099e+00  19_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     1.7554e+00  19_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     6.9854e+00  19_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     8.7581e-01  19_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     7.3988e-01  19_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -2.8064e+00  20_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -4.6276e+00  20_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370    -2.6181e+00  20_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120     1.9899e+00  20_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220     3.8748e+00  20_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     2.5651e+00  20_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120     4.2123e+00  20_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -2.5077e+00  20_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370    -7.3766e-02  20_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120     3.1195e-01  20_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220     1.3987e+00  20_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     1.1862e+00  20_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120     6.1493e+00  20_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -7.0148e-01  20_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     7.5790e-01  20_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     5.2332e+00  20_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220     4.6387e+00  20_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     2.0780e+00  20_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     4.0986e+00  20_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     3.6134e+00  20_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     1.5570e+00  20_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -5.8232e+00  21_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -5.3667e-01  21_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370    -7.6694e-01  21_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -2.1737e+00  21_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -2.8776e+00  21_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370    -6.7453e-01  21_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -5.8189e+00  21_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -5.7532e+00  21_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370    -5.3223e-01  21_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -4.4145e+00  21_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -2.1117e-01  21_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     2.3591e+00  21_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -5.6923e+00  21_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -9.1647e+00  21_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     1.5186e-01  21_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120    -8.7885e-01  21_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -3.1544e+00  21_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -8.6501e-01  21_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120    -7.2957e-01  21_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220    -1.8352e+00  21_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     4.8116e-01  21_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -2.1059e+00  22_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -6.6863e-01  22_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     6.2412e-01  22_TWonec.avr
